SettlementDate,SettlementPeriod,Demand
2016-01-27,44,36930
2016-01-27,45,34577
2016-01-27,46,32340
2016-01-27,47,30255
2016-01-27,48,29330
2016-01-28,1,29476
2016-01-28,2,29585
2016-01-28,3,29635
2016-01-28,4,29295
2016-01-28,5,29049
2016-01-28,6,29040
2016-01-28,7,28660
2016-01-28,8,28148
2016-01-28,9,27768
2016-01-28,10,27936
2016-01-28,11,28652
2016-01-28,12,29592
2016-01-28,13,31951
2016-01-28,14,35166
2016-01-28,15,39605
2016-01-28,16,41592
2016-01-28,17,41933
2016-01-28,18,41418
2016-01-28,19,41559
2016-01-28,20,41102
2016-01-28,21,40173
2016-01-28,22,39430
2016-01-28,23,38751
2016-01-28,24,38441
2016-01-28,25,38610
2016-01-28,26,38433
2016-01-28,27,38673
2016-01-28,28,39055
2016-01-28,29,39634
2016-01-28,30,39574
2016-01-28,31,39883
2016-01-28,32,41075
2016-01-28,33,42572
2016-01-28,34,44732
2016-01-28,35,46964
2016-01-28,36,47247
2016-01-28,37,47061
2016-01-28,38,46295
2016-01-28,39,45133
2016-01-28,40,43542
2016-01-28,41,41939
2016-01-28,42,40132
2016-01-28,43,38190
2016-01-28,44,36052
2016-01-28,45,33688
2016-01-28,46,31649
2016-01-28,47,29677
2016-01-28,48,28702
2016-01-29,1,28745
2016-01-29,2,28760
2016-01-29,3,28821
2016-01-29,4,28227
2016-01-29,5,27516
2016-01-29,6,27350
2016-01-29,7,26824
2016-01-29,8,26497
2016-01-29,9,26136
2016-01-29,10,26564
2016-01-29,11,27223
2016-01-29,12,27898
2016-01-29,13,30196
2016-01-29,14,33511
2016-01-29,15,37790
2016-01-29,16,39589
2016-01-29,17,40150
2016-01-29,18,39900
2016-01-29,19,40455
2016-01-29,20,40541
2016-01-29,21,40482
2016-01-29,22,40380
2016-01-29,23,40374
2016-01-29,24,40279
2016-01-29,25,40244
2016-01-29,26,39827
2016-01-29,27,39517
2016-01-29,28,39209
2016-01-29,29,39152
2016-01-29,30,38912
2016-01-29,31,38919
2016-01-29,32,39661
2016-01-29,33,40804
2016-01-29,34,42787
2016-01-29,35,44933
2016-01-29,36,45035
2016-01-29,37,44724
2016-01-29,38,43873
2016-01-29,39,42695
2016-01-29,40,41187
2016-01-29,41,39610
2016-01-29,42,37837
2016-01-29,43,36058
2016-01-29,44,34122
2016-01-29,45,32320
2016-01-29,46,30738
2016-01-29,47,28951
2016-01-29,48,27597
2016-01-30,1,27328
2016-01-30,2,27437
2016-01-30,3,27351
2016-01-30,4,27220
2016-01-30,5,26709
2016-01-30,6,26500
2016-01-30,7,26266
2016-01-30,8,25656
2016-01-30,9,25343
2016-01-30,10,25163
2016-01-30,11,25375
2016-01-30,12,25779
2016-01-30,13,26330
2016-01-30,14,26755
2016-01-30,15,28375
2016-01-30,16,29752
2016-01-30,17,31774
2016-01-30,18,33660
2016-01-30,19,35191
2016-01-30,20,35849
2016-01-30,21,36017
2016-01-30,22,35488
2016-01-30,23,34721
2016-01-30,24,33949
2016-01-30,25,33448
2016-01-30,26,33305
2016-01-30,27,32967
2016-01-30,28,32882
2016-01-30,29,33189
2016-01-30,30,33591
2016-01-30,31,34346
2016-01-30,32,35014
2016-01-30,33,36538
2016-01-30,34,39062
2016-01-30,35,42242
2016-01-30,36,43154
2016-01-30,37,42938
2016-01-30,38,41966
2016-01-30,39,40806
2016-01-30,40,39278
2016-01-30,41,37888
2016-01-30,42,36467
2016-01-30,43,35205
2016-01-30,44,33732
2016-01-30,45,32268
2016-01-30,46,31176
2016-01-30,47,29492
2016-01-30,48,28277
2016-01-31,1,28061
2016-01-31,2,28293
2016-01-31,3,28688
2016-01-31,4,28527
2016-01-31,5,28218
2016-01-31,6,28098
2016-01-31,7,27702
