SettlementDate,SettlementPeriod,Generation
2016-01-21,22,45735
2016-01-21,23,45683
2016-01-21,24,45629
2016-01-21,25,45650
2016-01-21,26,45322
2016-01-21,27,45216
2016-01-21,28,44970
2016-01-21,29,44860
2016-01-21,30,44491
2016-01-21,31,44515
2016-01-21,32,45616
2016-01-21,33,47054
2016-01-21,34,48549
2016-01-21,35,49543
2016-01-21,36,49052
2016-01-21,37,48733
2016-01-21,38,48305
2016-01-21,39,47643
2016-01-21,40,46099
2016-01-21,41,44486
2016-01-21,42,42573
2016-01-21,43,40299
2016-01-21,44,37663
2016-01-21,45,35204
2016-01-21,46,33064
2016-01-21,47,30600
2016-01-21,48,32204
2016-01-22,1,28624
2016-01-22,2,28858
2016-01-22,3,28557
2016-01-22,4,27745
2016-01-22,5,27156
2016-01-22,6,27024
2016-01-22,7,26609
2016-01-22,8,26051
2016-01-22,9,25608
2016-01-22,10,25529
2016-01-22,11,26224
2016-01-22,12,27561
2016-01-22,13,30811
2016-01-22,14,34349
2016-01-22,15,38711
2016-01-22,16,40547
2016-01-22,17,41779
2016-01-22,18,41736
2016-01-22,19,42730
2016-01-22,20,43274
2016-01-22,21,43574
2016-01-22,22,43530
2016-01-22,23,43516
2016-01-22,24,43494
2016-01-22,25,43343
2016-01-22,26,42712
2016-01-22,27,42218
2016-01-22,28,41247
2016-01-22,29,40723
2016-01-22,30,40184
2016-01-22,31,39832
2016-01-22,32,40409
2016-01-22,33,41730
2016-01-22,34,43969
2016-01-22,35,46461
2016-01-22,36,46603
2016-01-22,37,45892
2016-01-22,38,45049
2016-01-22,39,43621
2016-01-22,40,42015
2016-01-22,41,40385
2016-01-22,42,38774
2016-01-22,43,37045
2016-01-22,44,35054
2016-01-22,45,33195
2016-01-22,46,31749
2016-01-22,47,29725
2016-01-22,48,29141
2016-01-23,1,28122
2016-01-23,2,28236
2016-01-23,3,27824
2016-01-23,4,27004
2016-01-23,5,26360
2016-01-23,6,26367
2016-01-23,7,26033
2016-01-23,8,25580
2016-01-23,9,25370
2016-01-23,10,25487
2016-01-23,11,25821
2016-01-23,12,26390
2016-01-23,13,27981
2016-01-23,14,29078
2016-01-23,15,30723
2016-01-23,16,31801
2016-01-23,17,33426
2016-01-23,18,34806
2016-01-23,19,35795
2016-01-23,20,36230
2016-01-23,21,36408
2016-01-23,22,36260
2016-01-23,23,36211
2016-01-23,24,36233
